description,category,priority,reason,flag
Large pothole 60cm wide causing tyre damage. Three vehicles affected this week.,Pothole,Standard,"Categorised as Pothole because description mentions 'pothole', and marked Standard because it contains severity clue 'large'.",
Deep pothole near bus stop. School children at risk during morning hours.,Pothole,Urgent,"Categorised as Pothole because description mentions 'pothole', and marked Urgent because it contains urgent keyword 'child'.",
Underpass flooded knee-deep after 2hrs rain. Commuters stranded.,Flooding,Standard,"Categorised as Flooding because description mentions 'flood', and marked Standard because it contains severity clue 'deep'.",
Bus stand flooded. Passengers standing in water. Drain blocked.,Flooding,Low,"Categorised as Flooding because description mentions 'flood' but also matches 'Drain Blockage', and marked Low because it contains no urgent or severe keywords.",NEEDS_REVIEW
Three consecutive streetlights out for 10 days. Area very dark at night.,Streetlight,Low,"Categorised as Streetlight because description mentions 'streetlight', and marked Low because it contains no urgent or severe keywords.",
Streetlight flickering and sparking. Electrical hazard reported.,Streetlight,Urgent,"Categorised as Streetlight because description mentions 'streetlight', and marked Urgent because it contains urgent keyword 'hazard'.",
Overflowing garbage bins near vegetable market. Smell affecting shoppers.,Waste,Standard,"Categorised as Waste because description mentions 'garbage' but also matches 'Drain Blockage', and marked Standard because it contains severity clue 'affecting'.",NEEDS_REVIEW
Wedding venue playing music past midnight on weeknights.,Noise,Low,"Categorised as Noise because description mentions 'music', and marked Low because it contains no urgent or severe keywords.",
Road surface cracked and sinking near utility work done 1 month ago.,Road Damage,Low,"Categorised as Road Damage because description mentions 'crack', and marked Low because it contains no urgent or severe keywords.",
Manhole cover missing. Risk of serious injury to cyclists.,Road Damage,Urgent,"Categorised as Road Damage because description mentions 'manhole', and marked Urgent because it contains urgent keyword 'injury'.",
Bridge approach floods in 30mins of rain. Bridge becomes inaccessible.,Flooding,Standard,"Categorised as Flooding because description mentions 'flood', and marked Standard because it contains severity clue 'inaccessible'.",
Dead animal not removed for 36 hours. Health concern.,Waste,Standard,"Categorised as Waste because description mentions 'dead animal', and marked Standard because it contains severity clue 'dead'.",
"Heritage street, lights out. Safety concern for pedestrians after dark.",Streetlight,Low,"Categorised as Streetlight because description mentions 'lights out' but also matches 'Heritage Damage', and marked Low because it contains no urgent or severe keywords.",NEEDS_REVIEW
Bulk waste from apartment renovation dumped on public road.,Waste,Low,"Categorised as Waste because description mentions 'waste', and marked Low because it contains no urgent or severe keywords.",
Footpath tiles broken and upturned. Elderly resident fell last week.,Road Damage,Urgent,"Categorised as Road Damage because description mentions 'footpath', and marked Urgent because it contains urgent keyword 'fell'.",
